id,headword,display_spelling,frequency_rank,human_review
79482d76-d0a8-56c2-9371-da200cf67baa,furniture,furniture,2428,false
aff33913-d8df-5f15-82ed-fe5d42c20062,garage,garage,3113,false
60eff5cb-a01b-512d-8db9-45ad974bb5fd,garden,garden,700,false
50d402e4-714a-58ba-9e9d-2653de24bb55,generation,generation,1026,false
b6567532-9167-5259-8671-370e6fc9effe,girl,girl,362,false
01ceabba-ba56-5378-9fc4-0ee8f44c043b,glass,glass,820,false
40b482b7-6a7b-5ad9-9d9a-78e25ce4386e,granddaughter,granddaughter,8528,false
63a7a852-b17f-50b2-b596-030f7a1b7dad,grandfather,grandfather,2950,false
80fdccb7-9b36-51e4-af3c-08942d5baf86,grandmother,grandmother,2495,false
8348132d-143f-597a-b92c-400f61838f70,grandparent,grandparent,4679,false
eaa173fe-d3da-5905-8b9a-c708616dc66d,grandson,grandson,6641,false
a9503178-6954-52ef-a1b9-d2df7631db13,grow,grow,353,false
93f921d3-8e28-521b-bdb2-3fcc8ba0eb73,hair,hair,602,false
8ceb46b7-1ef5-57a3-9687-5baf2cf56588,hall,hall,800,false
797332ab-a150-5b16-8553-ea284a052e1c,hand,hand,163,false
ea820e43-f956-5ddf-a55b-17b0cdc22fcb,handsome,handsome,3838,false
0628a3aa-c60d-5033-b4ba-a6e3ee73b2b7,head,head,209,false
1aeb3361-4bac-5f9d-b4dd-a3556f0f575d,healthy,healthy,1468,false
0799fa25-b89f-5d03-b2c9-437b1b5f7e5b,heavy,heavy,943,false
d6751365-562a-53ee-a4eb-51492f88bdf0,height,height,1913,false
0092299b-5d58-5fbc-b483-461323aa2602,help,help,167,false
53cb483c-dc1b-5294-97ab-e2d68a039a23,home,home,222,false
352e0305-d072-533d-ae73-93300bea4fb7,honest,honest,2530,false
2e52d6e5-7ac0-5e96-a7cf-d0b7762000ea,house,house,148,false
435264b6-1c58-587e-8a11-0d29278ec391,husband,husband,637,false
23981f93-59e0-5751-932f-8c60f0587997,independent,independent,1013,false
b522f587-67da-5229-acd4-050cfe9f2260,influence,influence,1061,false
d983e372-ebfd-5b0a-ab6d-e1e6cf93b269,keep,keep,156,false
3cf05b34-27f1-5512-8153-2348bf3c5785,key,key,1093,false
845637d6-e9f8-51ca-80b6-b38045e2353b,kid,kid,312,false
3a662548-5eab-5c4d-9acd-4fbf458f03ba,kind,kind,250,false
b1a8262a-e65d-5fc2-b6f9-bdf57949dd0c,kitchen,kitchen,1051,false
f0bc7598-2050-5228-81c5-52b74f1fbdd5,knife,knife,2240,false
840ea61d-9926-50cc-a9c6-78e42124dade,know,know,47,false
fae465ed-fd4c-538b-9284-4a399367e28e,lamp,lamp,3340,false
81f8e222-59c9-5600-8954-245c78d2fca4,laugh,laugh,861,false
432fe844-b79d-537b-8462-3c15ddb37834,leg,leg,851,false
0b497720-d034-5775-9bdf-53f7711fb0e6,light,light,464,false
e408406a-e69c-56d8-b603-c6db80fbfdd9,live,live,210,false
62ccba66-63e1-5e8f-a26c-383f842b0a11,lock,lock,2221,false
960743a8-92c0-5f06-b3b2-678fae636019,look,look,82,false
9a0e9ea1-8a87-57fe-9fb5-e1ab519fc5b5,love,love,390,false
ae762a3e-e009-5dd3-8804-9667f1c5cc84,male,male,1126,false
5222eec8-3263-5d43-9a1c-66ab518a8235,man,man,91,false
960cf6f5-8c18-5420-995f-c32d350ee8ec,marriage,marriage,1011,false
4c9a1056-f128-55d3-be94-90c4d1d97721,married,married,1610,false
6c0e2959-e901-5c98-aa38-63daa199beaa,mattress,mattress,6001,false
18803a68-ad85-586c-bd80-ae0dd86eaf5c,meet,meet,259,false
43142705-735b-5b38-bf1c-aaf8c586b269,mirror,mirror,1853,false
4bb7f3d5-d530-508b-9972-9105169c390c,mom,mom,1609,false
ee707d60-b7d5-5a2d-918d-5d4a8f88d83d,mother,mother,229,false
3c6e83b7-618d-57fa-8e52-50a19dadd32f,mouth,mouth,1011,false
3f354b3c-cb33-585b-953b-bd165b3254f7,move,move,207,false
cdfbf235-2779-5e22-b163-78f9b9c46ce3,name,name,271,false
84e0914a-175b-5507-bbe7-98d8c7e4b046,need,need,132,false
f3c25cb9-3068-501c-a260-bf84614f3eb2,neighbor,neighbor,1424,false
a161301c-9b89-53e0-b3cf-fe7acffc2d80,nephew,nephew,6362,false
fa87be24-490e-5e28-886f-d3b40cd3fe78,nice,nice,750,false
c3dc1d92-e848-50fc-87a4-7e1a8cb4a65e,niece,niece,7475,false
3833f038-4cc6-5319-b24c-0acd97f6cae7,nose,nose,1735,false
2cdb3814-6b80-5a57-a69b-b66805aa2456,object,object,1028,false
f6d19303-501f-5884-807a-fe16e15e6275,old,old,126,false
0c02ad94-9b78-50d4-9278-fc337fde99dd,open,open,355,false
c776fae1-9f82-5f8a-a445-e37dd3a4c364,oven,oven,2920,false
071f200f-b1a6-5478-aee0-bf9b280683ac,own,own,118,false
a717bda0-aa71-565b-970b-9e0be01e405d,pan,pan,2479,false
c7b71309-71b9-5cda-a712-b4ae6f288c90,parent,parent,327,false
8d126e0d-7b39-5dda-ab2f-9fe100a0abaf,partner,partner,1048,false
da57db1f-28d2-503f-945e-36678aa6229a,people,people,62,false
245d2d61-2f57-571e-96d1-500d63d0d20f,person,person,308,false
d734697e-1006-5bcb-a990-d8e821360538,phone,phone,557,false
cd129625-4c58-598d-b550-7c1d225d9a06,pillow,pillow,4017,false
9f70ca98-f480-5c8b-8b1f-3d2fb7039007,plate,plate,1494,false
f57a35eb-6cc2-5974-ae9d-4c829b2f0b47,polite,polite,4976,false
ff847689-fc44-5837-92d0-bc209c98a6a3,pot,pot,2235,false
bead1bb2-9d85-54d4-8f75-7d8fb21e91ae,pregnant,pregnant,2629,false
be5a5850-b0c3-54e0-af4d-b69716d468e6,pretty,pretty,797,false
034e31c9-6319-54d7-9dd1-ea86617ea1f2,protect,protect,749,false
edcf0c9a-573f-5fff-97f2-6754e696b8c8,put,put,116,false
3d5de9e9-178c-585d-abe6-2b3197465c5e,quiet,quiet,1435,false
55a191b8-aca3-5983-86db-d6e836ac6041,raise,raise,433,false
57e8ebea-ff88-5b5d-a295-e527f0b780ff,refrigerator,refrigerator,4133,false
ef3e4eec-660f-511a-9450-cb498b02f6f8,relationship,relationship,486,false
5ca7d27e-dad7-58e7-b8b1-9897bd4e9101,relative,relative,2255,false
ff5c5a2b-0d1e-509e-b69a-f709b26e8e55,remember,remember,346,false
cfa6cc5c-6913-59af-b09e-89a6239d72a2,rent,rent,2386,false
9266878e-cd95-564e-ba26-54763d8f6cac,repair,repair,2940,false
20ae840a-5074-5bbb-9947-b9d46aa75b58,respect,respect,1476,false
bd507410-c747-5388-b0f3-4a5db9cfb720,responsibility,responsibility,830,false
30fefaea-8c69-53c7-b6cc-20216cc2b80c,responsible,responsible,1054,false
e14d86a7-19ea-5d2f-941d-3c756dd97e34,role,role,451,false
4edebdaf-cd65-5cb3-aed5-452c5f4286e7,roof,roof,1879,false
f352fd4f-8eea-5dda-89cf-0ac77e1c5eb8,room,room,227,false
5a288564-bbf5-538d-8a9b-2ca79b8a619a,safe,safe,1058,false
52bbe1ba-dfe0-5682-8d28-d234dd92867d,share,share,620,false
83901906-f99a-5001-ba88-d40981e858ac,shelf,shelf,2930,false
7f0d63b4-1a36-5a19-ab14-9677464ceb23,short,short,500,false
f160e2e6-d37c-515d-a85e-2f93c574cebd,shower,shower,3204,false
6554afca-1de4-5f93-aa47-7fe4128dd87d,similar,similar,543,false
d5caab91-baa7-5ed3-9797-ef9353f694aa,single,single,569,false
db2ade4d-7860-50fb-aff3-3ee580817824,sister,sister,823,false
0cb2efad-9d61-5b61-9d81-2797e509e2b8,skin,skin,1019,false
cf5f04de-92b8-5b10-873d-bf9e2f77e6d9,slim,slim,4710,false
31c22836-e2ed-56b7-829b-9d7232a7b38f,smile,smile,892,false
07f98e2a-5567-5ffd-a60f-e45a879cef1d,soap,soap,4288,false
c3310f75-548c-56f1-b0a5-d30b04078ead,sofa,sofa,4782,false
67b1a04e-7214-510d-ad64-559dbb9af7da,son,son,481,false
8a7ffd33-6718-5094-b1ce-2a12b725d400,spoon,spoon,4339,false
3402ea87-5591-526c-85d4-b4aff8fa5823,stairs,stairs,2222,false
0a5202dd-06ae-52ee-afe7-4ad03b389f0b,stove,stove,4388,false
a238064d-9387-5cf4-9e61-889ecb45e554,strong,strong,458,false
23949bce-ce3a-57b5-bc72-a35066f91bc4,support,support,481,false
aa622e5a-89c1-56ee-941b-5fcd243b4b20,table,table,410,false
1e735186-065b-5ab4-9de9-b9f712d12944,tall,tall,1524,false
8604dd35-e3fc-542a-b60c-af331a8890d9,teenager,teenager,2440,false
7993f2f9-901d-5982-adb7-d060aba31972,television,television,794,false
17008d3d-2fb1-502c-a481-05eee3812272,thin,thin,1621,false
f08c5c97-4cd2-5139-af05-d8b46cecba6b,thing,thing,97,false
7c952027-4086-5823-8522-494ceb9d7a82,together,together,288,false
08e9e5ad-237a-57a8-b2b7-190cac42a972,toilet,toilet,3550,false
3ed5237b-36e6-53e4-8573-a966df7525fa,tooth,tooth,1747,false
e04b2858-289b-57e9-a9c8-32d5863f42bb,towel,towel,3682,false
e59dd8f9-3ba6-5c33-aa63-baa30b456fa1,tradition,tradition,1243,false
e401666b-4ed6-573b-b743-53fe903ce521,trust,trust,1160,false
850bd623-5a93-564d-9f43-1ea7bb5ff93d,twin,twin,2376,false
86c33fe3-6a67-5ac9-838f-3ec9459d32ef,uncle,uncle,2301,false
7f99c11e-7bba-54a1-b121-ad98e251189e,use,use,87,false
29a903c4-fb19-5587-9222-229b7d17e675,value,value,367,false
09086ede-d825-5016-adae-e792304a9c4c,visit,visit,867,false
b853e40a-3e3b-5721-9225-1b62770c4632,voice,voice,465,false
872620ad-9488-517e-8557-9f71574a8e8b,wall,wall,571,false
6e316533-0046-5757-bb63-6046f9193b87,wardrobe,wardrobe,5424,false
7e6b2bb1-3a64-591b-9ae5-36903309a56f,wash,wash,1853,false
ea31f02e-a17c-554b-8cd2-fe0b40abb618,water,water,226,false
f266ac47-11b0-5e60-9a1d-437534a05ecd,weak,weak,1990,false
02ed640a-e6b4-5ec4-a19a-59b9bc178d75,wife,wife,466,false
89dc6ab6-e9ea-5c37-b06d-694de25fccec,window,window,517,false
a5add6cd-d6df-551c-945d-db3f197f5196,woman,woman,111,false
94132665-bc60-5e8c-8d63-40069c39778e,yard,yard,1035,false
18265749-8be3-59a3-a27d-a100f180c535,young,young,228,false
465d33e7-fe18-5a77-8034-7cbb7810a3d4,youth,youth,1397,false
ae35ea3d-b107-59d6-9f5b-380708434eab,april,april,684,false
7857eb94-eb08-5d8a-8a03-82ae78f74a17,back,back,105,false
f81e1c41-7181-5946-b6dd-4ff67c88673a,best,best,1212,false
8a6f9f38-44e5-5ad8-bb5a-8bc401f32313,black,black,426,false
3c8cb74e-bfc6-58df-91b8-67b610260cfd,cut,cut,541,false
4c473c8f-e9b9-5db2-b7d5-d0e7e80216ab,dark,dark,966,false
f3372e29-9cf4-5579-9312-fc0775efa774,fall,fall,332,false
e41ae2e9-dd26-5575-9397-b79bcf8826c0,feel,feel,135,false
3bf97f00-896b-5751-a0a7-07efe82b008a,film,film,739,false
72baabe8-b02c-5bdc-b8b3-cb16ebd2b354,fire,fire,693,false
effe1244-89b2-5985-bd36-bccca84525de,fly,fly,1106,false
4f1b0025-7c24-5266-b69e-2e5df4190e4b,get,get,41,false
bfe6b5f7-8568-597f-b915-9c6a46b0ad83,good,good,73,false
fda60747-31e2-53e8-a14f-d6b92c6dc6b3,hard,hard,573,false
24ab8827-97de-543a-8e86-acf0cc6f618d,holiday,holiday,948,false
e9f8fbc8-8ef4-5687-8276-0fdeb0424604,sheet,sheet,1430,false
48966510-745d-5e3a-965a-f79bd3059728,laundry,laundry,7707,false
c27ed256-6fb3-5576-8903-4681f4d91a76,diet,diet,1964,false
8ce99fe1-a5b7-516c-89dd-c9a4102ef4fb,special,special,438,false
879849cb-49cd-56b8-9f70-805af5fa8bbf,soup,soup,4360,false
c8b3e92c-330d-54d6-b992-2d77955b487b,horse,horse,803,false
70b59731-4240-5d49-a85b-0ea10e708725,in,in,6,false
a2982d1e-5c04-5bcf-aafb-1c5ad625fd6d,july,july,847,false
3837b3f0-4227-5809-916f-0dd62fe87286,june,june,691,false
4f3021e7-7561-53fb-a403-1070efc11dad,leave,leave,127,false
793872f0-54b5-52d4-a86a-1fbd523fca56,letter,letter,454,false
0d4276c3-432b-53ad-b30f-21aadeba2621,machine,machine,761,false
2e295e43-b501-57f4-9bac-86e4ae56885d,once,once,548,false
ec752ab2-eade-5a59-9125-f18a9ef3f230,one,one,46,false
17f5e30d-5d07-576c-854f-e640d6a5cd01,radio,radio,1093,false
696e3ade-e36c-5744-8038-5a824d75e1ae,ice,ice,2164,false
b12dde6e-6f92-531f-8e53-3233dc01c357,meal,meal,1415,false
d8f523cf-896b-5267-871b-4f3995e9f201,menu,menu,3553,false
b02424a4-131c-5670-8fc1-168d0f7e0283,eat,eat,701,false
463009be-bcb0-5035-bf47-66010fe05fb6,drink,drink,1284,false
813286ba-48ed-5696-8c26-6c9b8ce758a9,salad,salad,4643,false
ad937f15-75cf-5c61-911c-fee8a5cf0ba8,cafe,cafe,5986,false
9d2b135b-e535-5b67-a042-a4f4cdb27e63,waiter,waiter,5772,false
24e38290-4028-5c92-9abf-fa53c76e06e5,vegetable,vegetable,2818,false
376fb7c0-0a73-58da-b6e8-7bd5286515ca,cheese,cheese,2717,false
88b9828a-b938-5092-9bfc-c30c26e88400,chocolate,chocolate,3142,false
7342931f-f3fc-5345-b356-21d15b5432e8,tomato,tomato,4402,false
de8f4a48-a196-538c-a9f6-cc14e7bbf260,return,return,428,false
b6db6f20-6892-5613-9346-b7cc46039efa,say,say,32,false
f1f3e3b1-2f6a-5561-9b89-aca4bf6fdc9a,september,september,964,false
9c82b3b8-746b-5f17-8c7e-1cc6ce6c0f56,sound,sound,780,false
117a7523-ffd8-5588-8496-da6a02dcd8bb,star,star,1001,false
26ec3947-b597-577d-9548-e50a2efa5c17,station,station,736,false
3979dde9-6aef-5d2e-b491-363df6c02e64,street,street,380,false
e463610e-e3ef-5e23-8498-607d9d05be26,summer,summer,858,false
d52df418-faf7-59c4-bc3e-7a344c9dc163,sunday,sunday,988,false
49f7396f-adf9-55d4-ae60-55b37d06779f,third,third,465,false
8b072a74-509c-569f-a35c-f323a2bb8999,august,august,1239,false
9282c873-1414-5bc4-a86c-32f6ddf92def,flight,flight,1487,false
3d245e20-5a4b-50e8-a924-05861b8585ab,breakfast,breakfast,2019,false
bdf26ae2-b2a9-5eb5-88a5-4a4e590e5a45,restaurant,restaurant,1816,false
b8c65d79-8879-593e-9afb-9e815f51efad,rice,rice,4143,false
751260bb-c060-5207-b065-5b7b85549a05,tea,tea,1140,false
cc37a19b-199b-5646-956b-a4dad8426120,onion,onion,5108,false
fbb8e963-b3a8-5d8c-90fc-04b063e671a7,pepper,pepper,5443,false
0f328e29-eb29-5e4a-8aaa-4f67672e54dd,salt,salt,2536,false
6aaf07ea-f933-5338-9268-0b2240755bce,wine,wine,1304,false
5cfe993d-1f8b-5dba-bc1a-3e51c6914b69,bread,bread,2292,false
5befbf82-340e-54c4-b3bc-d00981f11de1,potato,potato,3013,false
c0b7797e-54b6-5c32-a8bc-91a387492223,boil,boil,4944,false
e609db69-3645-51ad-b244-ae65a18010cb,sauce,sauce,4226,false
f4ca077e-ee27-54f5-b49e-82861cadd9e1,lemon,lemon,4583,false
651e1c8d-972f-53d7-8dcc-67200cd6fba0,taste,taste,2077,false
84d89f24-f41a-57e5-9180-5a626bcbc7a3,milk,milk,1881,false
f971c5fb-b327-5b8d-8c30-b9cdb437fcfe,purple,purple,5326,false
9d92901d-a20d-525a-a699-7eefc0ed45e9,snake,snake,5064,false
c05d04bd-2432-5c5d-af55-01b224ea21e7,coffee,coffee,1403,false
f426a199-815c-5ab1-a1ba-3c983e4f6d12,dinner,dinner,1422,false
443e489c-d3c3-58bd-859f-a92a8a277f97,driver,driver,1225,false
8784f88f-161f-576a-a1a1-24f8037af2b7,farm,farm,1167,false
1f4bc9d0-7d0c-5efa-9d76-15ff8f5658e7,fifth,fifth,2418,false
d5f533bb-2dc2-5e84-803b-d57671a4f530,friday,friday,1621,false
01e18e0f-c6ff-564f-a272-5c126d03be7e,fruit,fruit,1809,false
5f5ff1ea-665d-5687-a33f-2ae614cfe76e,hat,hat,2209,false
c035f78c-bcb7-5a13-b162-9e690615f73a,toast,toast,5754,false
2506bb7b-da82-5e76-9319-6a5d35019f62,tray,tray,3885,false
21a84f4d-7d8b-5858-b090-b672a151868b,lime,lime,7712,false
ec6afede-e999-5099-ac06-80a11141812f,mustard,mustard,8963,false
48238f2b-61a9-513b-88a9-acce3cf206b9,olive,olive,7177,false
03250a0d-5588-5ff5-9d3c-450c03fd28ae,sharp,sharp,2035,false
fbceae37-fe74-5b08-9e2f-61aa85080cb3,slice,slice,4346,false
ea2ef686-facc-5c9e-a852-90a0eb513134,pour,pour,2331,false
1e87afd4-dd54-51b3-897f-404a87714cd7,mix,mix,2156,false
8c267749-70d5-58d0-9743-48d372b4ccfd,tee,tee,9221,false
1a35245d-b6d8-5d02-a359-c6112d86a4b9,ingredient,ingredient,3844,false
857527e1-fdbb-531e-90d0-1db28024432e,mixture,mixture,2426,false
68782d7c-1af0-5bee-9235-59761f184660,powder,powder,4272,false
0809404e-af45-5076-b62f-4c13c08d9a00,future,future,639,false
8fa1d90b-0402-5118-9576-0fd5ca721310,date,date,571,false
3022c282-34aa-53ec-b6ca-9585fb9785b3,quarter,quarter,1085,false
fe0bea5a-b9a4-5474-a90c-e07708336dc2,day,day,95,false
eec5409a-04b1-5b70-8861-b345293d73dd,evening,evening,651,false
d87c4b78-dc2c-5011-b941-bde810b9ad23,january,january,984,false
0a3fad2a-3641-55e9-9384-a0cd0eb9611f,december,december,1060,false
24fd65ed-4590-5be9-a071-c8a6452d0a29,lunch,lunch,1615,false
e3cf93ca-197c-5734-b921-7adf3414b8c0,meat,meat,2283,false
1ce8280d-442d-53c8-9def-cda2bc6b17df,monday,monday,1679,false
fea01eff-7386-52f8-b34c-6b1d929fde20,saturday,saturday,1159,false
2abb3972-6448-574a-b751-d0494ca78284,tennis,tennis,2846,false
5ed46f04-e3b8-5075-917b-b4815b9b3d86,thursday,thursday,2258,false
97a7fc31-a6dd-5f38-b92a-b0334203d380,tuesday,tuesday,2348,false
255075ad-87f2-57ba-8e6b-191481fa4149,cent,cent,10111,false
c3212d3d-a3a2-5cc2-b987-b7e4845745ec,piano,piano,3449,false
0562febf-b6ab-53f5-bce8-18232e025c44,above,above,733,false
46f0cfb2-73ff-5b55-8c62-27a9365c439d,again,again,156,false
a7089aea-7b21-53cc-9320-04d4418d91a5,begin,begin,193,false
3cd75f18-f198-59ec-9391-6d4bc060f79b,between,between,97,false
9b71d942-eedd-58f1-9221-5c7e76fbe04c,find,find,92,false
ea7a78ae-e3e3-53da-8ef2-4da003aebf7c,free,free,497,false
51e3975e-5e2e-5a1c-b19c-2584d9dc95b0,hour,hour,299,false
a84ca19f-88e5-5e00-831d-a9d1265b7649,fourth,fourth,1543,false
4b513eb6-24db-5e5c-b9df-68856df5bb97,period,period,324,false
f9108505-69cc-5907-a061-6db4241da8ba,minute,minute,348,false
95c40f9c-c2be-572c-a0db-240afc1d4bbc,moment,moment,361,false
259338f7-c6eb-5334-8b37-f27f5acffe14,guess,guess,2218,false
c8437a9f-6ff6-511a-a222-cc8595b37a3f,here,here,117,false
53aee3c1-68da-5d16-8717-bfdad769b9a9,high,high,152,false
f7f4be03-52a4-5da4-abb4-8202314cc9c8,new,new,81,false
52feb3f9-1afe-5693-9ee1-c83269c1cea2,other,other,69,false
130bab48-5719-5600-a7b1-28f5e5c791c6,problem,problem,154,false
2f77dc68-fb5a-5e1c-8380-4678f9b59965,question,question,221,false
e78b0c85-45d3-5641-993a-5dedea55eaac,quickly,quickly,809,false
b40ecc85-5d01-5d7d-a457-a0ae803cc37b,read,read,322,false
42cd97d1-000a-5934-a647-70591e63e51a,so,so,48,false
fa26c432-5972-5199-b3c3-81c64493fa73,sometimes,sometimes,478,false
bfe6ab16-b7de-5dd9-a635-87ed9f00f452,butter,butter,3403,false
8f1b0ee4-cf05-5099-9e62-20be5658471b,coat,coat,2138,false
31825379-af3e-56e8-bf55-56d894441f8a,blonde,blonde,6183,false
1a73b8ee-67a8-5d80-b11e-0300f43855e2,month,month,214,false
9fdee872-919b-5ad2-a79f-42f24b4bd059,night,night,216,false
271cf257-8d16-525e-8e01-9e7647f83429,october,october,940,false
a2adc10f-266b-5923-a6e0-21c7570ccc4f,november,november,1059,false
33346da9-c372-5abf-84ef-6800a66b46e4,wednesday,wednesday,1980,false
069c020c-c292-506c-9432-66d8f6d3ec3d,weekend,weekend,1317,false
e80f7905-d022-54c6-877b-cd5753e354b2,morning,morning,445,false
721a4b84-312b-5b7c-9980-373ca52bcdbe,past,past,1116,false
0fb8e674-d05a-5313-ac3e-d1c46d3c8926,today,today,350,false
4d5dd524-5a90-565f-9c4b-238f2d37cd46,tonight,tonight,1385,false
c537acf6-d936-5f79-859e-f18fe1d30faf,cooking,cooking,4137,false
7fa95e02-43e9-5681-9563-4d74139695d2,dancer,dancer,4610,false
e8004c47-1991-5368-b200-2084e96a29fe,follow,follow,186,false
